employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
74759,Sales & Marketing,Ahmedabad,Bachelor's,m,sourcing,1,26,,1,0,44.0,0
27395,Procurement,Kochi,Bachelor's,m,sourcing,1,37,5.0,10,0,72.0,0
58536,Finance,Lucknow,Bachelor's,m,other,2,26,1.0,2,0,,0
35465,Sales & Marketing,Bangalore,,f,sourcing,1,24,1.0,2,0,48.0,0
51756,Operations,Delhi,Bachelor's,m,sourcing,2,57,4.0,6,0,58.0,0
57011,Analytics,Hyderabad,Bachelor's,m,other,2,27,5.0,3,0,87.0,0
77064,Sales & Marketing,Hyderabad,Bachelor's,m,other,1,40,2.0,4,0,47.0,0
64062,Technology,Nagpur,Bachelor's,m,sourcing,1,33,4.0,4,0,75.0,0
47123,Sales & Marketing,Bangalore,Bachelor's,f,sourcing,1,40,5.0,3,0,47.0,0
56275,Sales & Marketing,Kolkata,Master's & above,m,other,1,42,5.0,5,0,51.0,0
58304,Sales & Marketing,Nagpur,Bachelor's,m,sourcing,1,33,5.0,6,0,51.0,1
25014,Technology,Kochi,Bachelor's,m,other,1,34,3.0,10,0,80.0,0
40097,Operations,Delhi,Bachelor's,f,other,2,23,4.0,2,0,57.0,0
23560,HR,Delhi,Bachelor's,m,sourcing,1,59,4.0,26,0,52.0,0
17423,Sales & Marketing,Delhi,,m,other,3,24,2.0,2,0,48.0,0
61758,Analytics,Delhi,Bachelor's,m,other,1,44,5.0,12,0,88.0,0
75009,Procurement,Visakhapatnam,Bachelor's,f,sourcing,1,50,5.0,11,0,71.0,0
17876,Procurement,Chandigarh,Master's & above,f,other,1,37,4.0,4,0,71.0,0
36924,Technology,Coimbatore,Bachelor's,m,sourcing,1,40,3.0,11,0,80.0,0
50408,Sales & Marketing,Noida,Bachelor's,m,sourcing,1,30,3.0,3,0,49.0,0
18013,Procurement,Delhi,Master's & above,f,sourcing,1,56,3.0,12,0,73.0,0
24104,Finance,Delhi,Bachelor's,m,sourcing,1,20,4.0,2,0,60.0,0
32083,Sales & Marketing,Mysore,Bachelor's,f,sourcing,1,31,3.0,8,0,48.0,0
38330,Procurement,Kochi,Bachelor's,m,sourcing,1,40,3.0,12,0,65.0,0
33690,HR,Hyderabad,Bachelor's,m,other,1,30,1.0,6,0,50.0,0
73161,Operations,Hyderabad,Bachelor's,m,other,1,39,3.0,5,0,62.0,0
13596,Analytics,Lucknow,Bachelor's,m,other,2,26,2.0,2,0,85.0,0
45709,Sales & Marketing,Lucknow,Bachelor's,f,other,1,29,,1,0,49.0,0
32709,R&D,Hyderabad,Master's & above,m,sourcing,1,40,3.0,5,0,84.0,0
26599,Sales & Marketing,Coimbatore,Bachelor's,m,other,2,27,,1,0,47.0,0
32656,Sales & Marketing,Pune,Bachelor's,m,other,1,40,4.0,7,0,52.0,0
17673,Sales & Marketing,Ahmedabad,Master's & above,m,other,1,50,4.0,17,0,47.0,1
3113,Sales & Marketing,Jaipur,Bachelor's,m,sourcing,1,25,3.0,3,0,53.0,0
9150,Analytics,Hyderabad,Bachelor's,f,other,1,28,,1,0,80.0,0
14107,Sales & Marketing,Kolkata,Master's & above,m,sourcing,1,35,4.0,2,0,52.0,0
58747,R&D,Mumbai,Bachelor's,m,other,1,34,5.0,5,0,87.0,0
3342,Operations,Chandigarh,Master's & above,f,sourcing,1,31,3.0,3,0,58.0,0
77981,Finance,Hyderabad,Bachelor's,m,other,1,27,,1,1,58.0,1
16502,Sales & Marketing,Hyderabad,Bachelor's,m,sourcing,1,27,,1,0,,1
73729,Procurement,Vadodara,Bachelor's,m,other,1,30,4.0,6,0,75.0,0
45624,Analytics,Lucknow,Bachelor's,m,other,1,30,3.0,7,0,84.0,1
75677,Operations,Hyderabad,Bachelor's,f,other,1,50,5.0,5,0,59.0,0
24040,Technology,Hyderabad,Master's & above,m,other,1,34,5.0,7,0,78.0,1
68082,Sales & Marketing,Delhi,Master's & above,f,sourcing,1,41,1.0,12,0,52.0,0
51786,Sales & Marketing,Coimbatore,Bachelor's,m,sourcing,1,32,4.0,6,0,44.0,0
77577,Sales & Marketing,Bangalore,Bachelor's,m,other,1,50,3.0,14,0,52.0,0
54782,Sales & Marketing,Delhi,Master's & above,m,sourcing,1,38,4.0,2,0,49.0,1
52368,Sales & Marketing,Patna,Bachelor's,m,sourcing,2,29,1.0,5,0,51.0,0
75103,Sales & Marketing,Ranchi,Bachelor's,m,sourcing,1,35,4.0,3,0,53.0,0
7520,Analytics,Delhi,Bachelor's,m,other,1,25,3.0,2,0,91.0,0
59147,Sales & Marketing,Hyderabad,Bachelor's,m,sourcing,1,30,3.0,3,0,58.0,1
53092,Technology,Delhi,Bachelor's,m,referred,1,47,3.0,7,0,79.0,0
34564,Operations,Ahmedabad,Master's & above,m,sourcing,1,35,2.0,7,0,53.0,0
66013,Sales & Marketing,Delhi,,m,sourcing,2,25,3.0,2,0,53.0,0
77135,R&D,Hyderabad,Bachelor's,m,other,1,36,4.0,8,0,82.0,0
44575,Legal,Bangalore,Bachelor's,m,other,1,29,,1,0,65.0,1
47498,Operations,Indore,Master's & above,f,sourcing,1,42,5.0,11,0,60.0,1
20798,HR,Noida,Bachelor's,f,sourcing,1,28,2.0,6,0,52.0,0
69094,Sales & Marketing,Delhi,,m,sourcing,1,39,1.0,9,0,49.0,0
22261,Procurement,Bangalore,Master's & above,m,sourcing,1,32,5.0,3,0,69.0,1
9589,Sales & Marketing,Lucknow,Bachelor's,f,other,1,31,,1,0,51.0,0
62658,Sales & Marketing,Delhi,,f,sourcing,1,20,,1,0,55.0,0
21628,Analytics,Guwahati,Bachelor's,m,other,1,34,3.0,8,0,85.0,0
68484,Procurement,Delhi,Master's & above,m,sourcing,2,46,4.0,3,0,74.0,0
44523,HR,Delhi,Master's & above,m,other,1,47,3.0,7,0,44.0,0
35420,Operations,Delhi,Bachelor's,f,other,1,44,4.0,13,0,53.0,0
43923,Analytics,Thiruvananthapuram,Bachelor's,m,sourcing,1,31,4.0,4,0,86.0,0
64109,Technology,Mumbai,Bachelor's,f,sourcing,1,23,,1,0,77.0,0
41983,Operations,Delhi,Bachelor's,f,sourcing,1,33,3.0,5,0,57.0,0
21440,Sales & Marketing,Lucknow,Bachelor's,m,other,1,41,3.0,12,0,52.0,0
51256,Finance,Delhi,Master's & above,m,other,1,60,5.0,17,0,59.0,0
66635,Operations,Kochi,Bachelor's,m,other,1,31,5.0,4,0,63.0,1
16027,Operations,Mumbai,Bachelor's,f,other,1,37,3.0,11,0,57.0,0
46020,Analytics,Bangalore,Bachelor's,m,sourcing,2,39,3.0,4,0,83.0,0
28509,Sales & Marketing,Bangalore,Bachelor's,m,other,1,40,5.0,8,0,54.0,0
33587,Sales & Marketing,Nagpur,Master's & above,m,sourcing,1,42,5.0,4,0,50.0,0
21387,Operations,Chandigarh,Bachelor's,m,other,1,35,4.0,6,0,57.0,1
55927,Operations,Chandigarh,Master's & above,f,sourcing,1,41,4.0,6,0,62.0,0
60763,Procurement,Delhi,Bachelor's,f,other,1,23,3.0,2,0,73.0,0
53167,Sales & Marketing,Coimbatore,Bachelor's,m,sourcing,2,31,3.0,4,0,50.0,0
32672,Analytics,Hyderabad,Master's & above,m,other,1,42,2.0,19,0,79.0,0
48785,Sales & Marketing,Hyderabad,Bachelor's,m,other,3,29,4.0,2,0,49.0,0
51444,HR,Chandigarh,Bachelor's,f,other,1,30,,1,0,54.0,0
75778,Operations,Delhi,Bachelor's,m,sourcing,1,41,4.0,6,0,63.0,0
14141,Sales & Marketing,Bangalore,Bachelor's,f,other,1,40,3.0,2,0,90.0,1
17894,Sales & Marketing,Delhi,Bachelor's,m,referred,1,34,5.0,5,0,49.0,0
54380,Sales & Marketing,Ahmedabad,Bachelor's,f,other,1,31,4.0,2,0,46.0,0
51892,Technology,Delhi,Bachelor's,m,other,1,27,5.0,2,0,86.0,1
3625,Procurement,Surat,Bachelor's,m,sourcing,4,30,3.0,2,0,72.0,0
38771,Procurement,Chennai,Bachelor's,f,other,1,27,4.0,4,0,72.0,1
18959,Technology,Kochi,Bachelor's,m,other,4,36,4.0,7,0,82.0,0
21137,Technology,Delhi,Bachelor's,m,sourcing,1,35,4.0,6,0,77.0,0
26097,Sales & Marketing,Mysore,Master's & above,m,other,1,34,5.0,7,0,51.0,1
38052,Procurement,Gurgaon,Master's & above,m,sourcing,1,37,5.0,3,1,92.0,1
41746,Operations,Hyderabad,Bachelor's,f,sourcing,1,27,,1,0,58.0,0
72744,Procurement,Delhi,Master's & above,m,sourcing,2,47,3.0,5,0,71.0,0
5461,Analytics,Hubli,Bachelor's,m,other,1,28,,1,0,83.0,0
15227,Procurement,Patna,Master's & above,f,other,1,40,5.0,5,0,68.0,0
66874,Sales & Marketing,Patna,Bachelor's,f,other,1,30,,1,0,50.0,0
42068,Operations,Kolkata,Master's & above,m,other,1,38,5.0,9,0,,0
54825,Sales & Marketing,Mysore,Bachelor's,m,other,1,30,3.0,2,0,47.0,0
77709,Sales & Marketing,Indore,Bachelor's,f,sourcing,1,28,5.0,3,0,46.0,0
43712,Procurement,Hyderabad,Bachelor's,m,sourcing,2,28,5.0,4,0,67.0,0
74783,Operations,Jaipur,Bachelor's,m,sourcing,1,35,4.0,7,0,58.0,0
19318,Analytics,Hyderabad,Bachelor's,m,other,1,32,3.0,8,0,89.0,1
12096,Sales & Marketing,Mumbai,Master's & above,m,sourcing,1,36,5.0,8,0,50.0,0
5102,Operations,Bangalore,Bachelor's,m,sourcing,1,24,,1,0,56.0,0
29521,Technology,Kochi,Bachelor's,m,other,1,27,3.0,4,0,78.0,0
36371,Finance,Nagpur,Master's & above,m,other,2,34,3.0,7,0,56.0,0
51164,Technology,Thiruvananthapuram,Bachelor's,f,other,1,31,4.0,4,1,78.0,0
17812,Technology,Patna,Bachelor's,f,sourcing,1,30,4.0,2,0,77.0,0
7606,Technology,Jaipur,Bachelor's,f,other,2,30,3.0,7,1,76.0,0
50593,Finance,Chennai,Bachelor's,m,sourcing,1,31,,1,0,56.0,0
73735,Analytics,Mysore,Bachelor's,m,other,1,30,5.0,3,0,84.0,0
29313,Finance,Hyderabad,Bachelor's,m,sourcing,1,28,3.0,2,0,57.0,0
40262,Technology,Delhi,Bachelor's,m,other,2,28,3.0,5,0,81.0,0
36904,Sales & Marketing,Kochi,Bachelor's,m,other,1,29,3.0,2,0,51.0,0
62552,Sales & Marketing,Hyderabad,Master's & above,m,sourcing,1,46,3.0,11,0,51.0,0
63285,Technology,Jaipur,Bachelor's,m,sourcing,1,31,5.0,4,0,80.0,0
74203,Procurement,Bhubaneswar,Bachelor's,m,sourcing,1,28,1.0,4,0,72.0,0
75344,Sales & Marketing,Ahmedabad,Master's & above,m,other,1,31,4.0,6,0,50.0,0
74018,HR,Bangalore,Master's & above,f,other,1,37,3.0,9,0,48.0,0
34985,Technology,Bhubaneswar,Bachelor's,f,other,2,34,5.0,8,0,88.0,1
35930,Procurement,Delhi,Bachelor's,m,sourcing,1,25,5.0,3,0,70.0,1
6708,Operations,Hyderabad,Master's & above,m,sourcing,1,40,4.0,4,0,57.0,0
5515,Operations,Chandigarh,Master's & above,m,other,1,43,3.0,7,0,56.0,1
53373,Operations,Chandigarh,Bachelor's,m,other,1,36,1.0,5,0,56.0,0
69316,Legal,Jaipur,Bachelor's,m,sourcing,1,29,3.0,3,0,63.0,0
41009,Finance,Chandigarh,Bachelor's,m,sourcing,2,35,3.0,2,0,56.0,0
50622,Analytics,Mysore,Master's & above,m,other,1,34,5.0,2,0,84.0,0
30106,Sales & Marketing,Coimbatore,Bachelor's,f,sourcing,1,32,4.0,4,0,,0
45157,HR,Ahmedabad,Bachelor's,m,other,1,27,,1,0,50.0,0
23523,Technology,Mumbai,Bachelor's,m,sourcing,1,29,3.0,5,0,75.0,0
74349,Sales & Marketing,Bhubaneswar,Bachelor's,m,sourcing,1,34,1.0,4,0,48.0,0
70543,Procurement,Delhi,Master's & above,m,sourcing,1,37,5.0,7,0,70.0,0
42245,Procurement,Hyderabad,Bachelor's,f,other,1,33,3.0,3,0,73.0,0
34405,Procurement,Delhi,Master's & above,f,other,1,33,5.0,4,0,67.0,0
4134,Sales & Marketing,Coimbatore,Bachelor's,f,other,1,39,1.0,8,0,,0
23599,Technology,Chennai,Master's & above,m,other,1,34,4.0,7,0,82.0,0
942,Technology,Hyderabad,Bachelor's,m,other,2,32,4.0,6,0,84.0,0
5281,Sales & Marketing,Bangalore,Master's & above,m,other,1,34,4.0,6,0,53.0,0
197,Finance,Guwahati,Bachelor's,m,other,1,29,5.0,6,0,,0
37574,Sales & Marketing,Delhi,Bachelor's,m,sourcing,2,28,1.0,2,0,50.0,0
26773,Technology,Bangalore,Bachelor's,f,other,1,28,2.0,5,0,75.0,0
70034,Procurement,Delhi,Master's & above,f,other,2,35,3.0,9,0,70.0,0
40565,Technology,Delhi,Bachelor's,f,other,2,40,3.0,3,0,86.0,0
17193,Sales & Marketing,Delhi,Bachelor's,f,other,2,27,2.0,4,0,54.0,0
76550,Procurement,Hyderabad,Bachelor's,f,other,3,26,3.0,3,0,70.0,0
53841,Operations,Delhi,Bachelor's,m,sourcing,1,43,2.0,12,0,57.0,0
28314,Finance,Mumbai,Bachelor's,m,other,1,23,,1,0,,0
30196,Analytics,Mysore,Bachelor's,m,sourcing,1,29,5.0,6,0,84.0,0
29757,Sales & Marketing,Thiruvananthapuram,Bachelor's,m,sourcing,1,43,3.0,15,0,51.0,0
6073,Sales & Marketing,Delhi,Bachelor's,m,sourcing,3,27,4.0,4,0,49.0,0
9863,Procurement,Patna,Bachelor's,m,sourcing,1,26,4.0,4,0,70.0,0
34306,Procurement,Chandigarh,Bachelor's,f,other,1,31,5.0,5,0,72.0,0
34041,Operations,Bangalore,Bachelor's,m,other,1,40,4.0,11,0,58.0,0
21356,Operations,Kochi,Bachelor's,f,other,2,39,5.0,12,0,55.0,0
29540,Operations,Delhi,Bachelor's,f,other,2,30,3.0,6,0,57.0,0
51669,Technology,Delhi,Master's & above,m,other,1,47,4.0,4,0,77.0,0
33825,Sales & Marketing,Visakhapatnam,Bachelor's,m,other,1,34,4.0,7,0,48.0,1
6254,Operations,Delhi,,f,other,1,33,4.0,9,0,64.0,0
11645,Sales & Marketing,Chennai,Master's & above,m,other,1,41,5.0,7,0,51.0,0
3231,Technology,Bangalore,Bachelor's,m,other,1,29,1.0,4,0,80.0,0
7030,Analytics,Lucknow,Bachelor's,f,other,1,32,3.0,4,0,86.0,0
54198,Procurement,Bangalore,Master's & above,f,other,1,47,5.0,9,0,68.0,0
62293,Operations,Patna,Bachelor's,m,other,1,35,4.0,3,0,65.0,0
25312,Technology,Hyderabad,Bachelor's,m,other,1,27,4.0,2,0,75.0,0
75610,Analytics,Jamshedpur,Bachelor's,m,other,1,29,1.0,3,0,81.0,0
16518,Sales & Marketing,Noida,Bachelor's,m,sourcing,2,36,3.0,9,0,49.0,0
42747,Sales & Marketing,Kochi,Bachelor's,m,other,2,35,1.0,8,0,39.0,0
67980,Procurement,Delhi,Bachelor's,f,sourcing,2,34,3.0,2,0,70.0,0
53630,Sales & Marketing,Chennai,Master's & above,f,sourcing,1,34,4.0,5,1,94.0,1
72423,Operations,Delhi,Master's & above,m,sourcing,1,39,3.0,2,0,60.0,0
73022,Sales & Marketing,Mysore,Bachelor's,m,other,1,26,5.0,2,0,51.0,0
63976,Operations,Lucknow,Bachelor's,f,sourcing,1,30,5.0,4,0,56.0,0
60761,Operations,Coimbatore,,f,other,1,31,4.0,2,0,62.0,0
57228,HR,Delhi,Master's & above,m,sourcing,1,44,5.0,6,0,48.0,0
14912,Sales & Marketing,Kolkata,Bachelor's,m,other,1,38,3.0,4,0,49.0,0
22725,Technology,Mumbai,Bachelor's,m,other,1,40,1.0,3,0,78.0,0
18981,Legal,Delhi,Master's & above,m,sourcing,1,50,5.0,6,1,58.0,0
50845,Procurement,Pune,Master's & above,m,other,1,44,3.0,12,0,70.0,0
11800,Procurement,Delhi,Below Secondary,f,other,1,23,1.0,2,0,69.0,0
16351,Sales & Marketing,Bangalore,Master's & above,f,sourcing,1,36,1.0,2,0,53.0,0
75881,Analytics,Patna,Bachelor's,m,sourcing,1,25,1.0,4,0,80.0,0
73200,Operations,Nagpur,Bachelor's,m,sourcing,1,34,5.0,4,0,58.0,0
17833,Analytics,Ahmedabad,Bachelor's,m,sourcing,1,28,,1,0,85.0,0
58338,Analytics,Kolkata,Bachelor's,m,other,2,30,5.0,6,0,81.0,0
40187,Procurement,Guwahati,Bachelor's,m,sourcing,1,35,1.0,8,0,67.0,0
70193,Analytics,Dehradun,Bachelor's,m,sourcing,1,33,4.0,8,0,86.0,0
27188,Analytics,Chandigarh,Master's & above,m,other,1,30,3.0,4,0,80.0,0
24291,Analytics,Mumbai,Bachelor's,m,other,2,27,5.0,3,0,85.0,0
43676,Procurement,Delhi,Bachelor's,m,other,4,29,,1,0,68.0,0
52231,Operations,Delhi,Bachelor's,m,sourcing,1,43,3.0,3,0,58.0,0
34241,Analytics,Hyderabad,Bachelor's,m,other,2,28,3.0,5,0,86.0,0
76661,Procurement,Visakhapatnam,Bachelor's,m,other,1,31,5.0,3,0,68.0,0
50595,Operations,Delhi,Bachelor's,f,other,1,43,4.0,12,0,58.0,0
67673,Operations,Ahmedabad,Bachelor's,f,other,1,35,5.0,9,0,60.0,0
10547,Sales & Marketing,Bhubaneswar,Bachelor's,m,other,2,35,3.0,9,0,49.0,0
73405,Operations,Delhi,Master's & above,m,other,1,50,3.0,8,0,59.0,0
73114,HR,Visakhapatnam,Bachelor's,f,other,1,26,4.0,3,0,50.0,0
22572,Sales & Marketing,Patna,Bachelor's,m,sourcing,1,32,3.0,5,0,52.0,0
62923,Operations,Chandigarh,Master's & above,f,other,1,38,5.0,2,1,93.0,1
57235,Sales & Marketing,Mumbai,,m,other,1,22,4.0,2,0,51.0,0
22300,HR,Noida,Bachelor's,m,other,1,28,,1,0,52.0,0
24090,Procurement,Thiruvananthapuram,Bachelor's,f,sourcing,1,37,3.0,9,0,69.0,0
57298,Analytics,Delhi,Bachelor's,m,sourcing,2,54,3.0,9,0,86.0,0
25629,Sales & Marketing,Indore,Bachelor's,m,sourcing,1,36,3.0,8,0,51.0,0
71339,Technology,Dehradun,Bachelor's,m,other,1,35,3.0,8,0,78.0,0
54714,Analytics,Jaipur,Bachelor's,m,other,1,39,3.0,4,0,85.0,0
7390,Operations,Guwahati,Bachelor's,f,sourcing,1,31,5.0,4,0,63.0,0
9563,Operations,Lucknow,Bachelor's,m,other,2,38,3.0,7,1,60.0,0
39107,Sales & Marketing,Hyderabad,Bachelor's,m,sourcing,1,28,1.0,2,0,48.0,0
19445,Sales & Marketing,Bangalore,Bachelor's,m,sourcing,3,26,2.0,3,0,52.0,0
42636,Sales & Marketing,Mumbai,Bachelor's,m,sourcing,1,29,,1,0,54.0,0
32557,Analytics,Noida,Bachelor's,m,sourcing,1,30,3.0,4,0,84.0,0
43396,Operations,Hyderabad,Bachelor's,m,sourcing,2,37,2.0,4,0,57.0,1
24414,R&D,Delhi,,m,other,1,25,,1,0,76.0,0
63237,Technology,Hyderabad,Bachelor's,m,referred,1,26,4.0,2,0,82.0,0
32838,Technology,Bangalore,Bachelor's,m,other,1,31,4.0,4,0,78.0,0
23003,Technology,Thiruvananthapuram,Bachelor's,f,other,1,38,5.0,7,0,82.0,0
45198,Sales & Marketing,Chandigarh,Bachelor's,m,other,1,39,4.0,9,0,49.0,0
40376,Sales & Marketing,Ahmedabad,Bachelor's,m,other,1,30,5.0,4,1,50.0,0
60176,Procurement,Kochi,Master's & above,f,other,1,34,5.0,8,0,67.0,0
67652,Procurement,Chennai,Master's & above,f,other,1,33,3.0,5,0,72.0,0
15476,Technology,Delhi,Bachelor's,f,other,1,29,5.0,3,0,78.0,0
55811,Operations,Delhi,Bachelor's,m,sourcing,1,28,4.0,2,0,,0
15737,Finance,Hyderabad,Bachelor's,m,sourcing,1,24,,1,0,56.0,0
10058,Analytics,Hyderabad,Bachelor's,m,other,2,26,4.0,2,0,87.0,0
73435,Legal,Hyderabad,Bachelor's,m,sourcing,1,34,5.0,4,0,64.0,0
51255,Sales & Marketing,Patna,Bachelor's,m,sourcing,1,35,3.0,7,0,46.0,0
70060,Technology,Chandigarh,Master's & above,m,other,1,43,3.0,14,0,79.0,0
51473,Sales & Marketing,Kochi,Bachelor's,m,other,1,34,1.0,8,0,39.0,0
71904,Technology,Bangalore,Master's & above,f,other,2,38,3.0,10,0,88.0,0
76080,Operations,Bangalore,Bachelor's,f,other,1,34,1.0,5,0,54.0,0
33357,Operations,Hyderabad,Bachelor's,m,sourcing,1,41,4.0,4,0,63.0,0
53502,Finance,Bangalore,Bachelor's,m,sourcing,2,29,1.0,4,0,,0
26409,Operations,Delhi,Bachelor's,m,other,1,33,4.0,3,0,,0
59608,Sales & Marketing,Delhi,Master's & above,f,other,1,41,4.0,5,0,48.0,0
28687,Operations,Delhi,Master's & above,m,other,3,38,3.0,11,0,57.0,0
34312,Procurement,Delhi,Master's & above,f,other,2,54,4.0,23,0,66.0,0
11438,Sales & Marketing,Chandigarh,Master's & above,f,sourcing,2,34,2.0,8,0,49.0,0
11794,R&D,Delhi,Bachelor's,m,other,2,26,5.0,3,0,87.0,0
48756,Operations,Bangalore,Bachelor's,f,sourcing,1,35,5.0,3,0,59.0,0
35873,Legal,Delhi,Below Secondary,m,other,1,28,,1,0,62.0,0
13970,Operations,Raipur,Master's & above,m,other,1,36,3.0,4,0,60.0,0
49868,Technology,Bhubaneswar,Bachelor's,m,other,1,45,3.0,15,0,87.0,0
25261,Procurement,Bangalore,Master's & above,m,other,1,38,4.0,7,0,66.0,0
44536,Sales & Marketing,Patna,Bachelor's,f,other,1,26,2.0,4,0,47.0,0
55550,Analytics,Patna,,m,sourcing,1,31,3.0,4,0,85.0,0
27989,Analytics,Gurgaon,Bachelor's,m,sourcing,1,32,3.0,7,0,87.0,0
12598,Analytics,Dehradun,Bachelor's,m,sourcing,1,29,4.0,4,0,78.0,0
32877,Sales & Marketing,Delhi,Bachelor's,f,other,1,40,3.0,12,0,50.0,0
30682,Technology,Delhi,Bachelor's,m,referred,2,29,4.0,6,0,75.0,0
1829,Analytics,Nagpur,Bachelor's,m,other,2,31,5.0,7,0,87.0,0
2177,Finance,Coimbatore,Bachelor's,m,other,1,32,5.0,6,0,58.0,0
51771,Operations,Visakhapatnam,Bachelor's,m,other,1,42,5.0,11,0,67.0,0
26026,Procurement,Kochi,Bachelor's,f,sourcing,1,30,5.0,3,0,65.0,0
64977,Procurement,Coimbatore,Bachelor's,f,other,1,24,3.0,2,0,70.0,0
44585,Sales & Marketing,Ranchi,Bachelor's,m,sourcing,1,35,3.0,7,0,56.0,0
43562,Technology,Bhubaneswar,Bachelor's,f,sourcing,2,32,1.0,3,0,80.0,0
56287,HR,Delhi,Bachelor's,f,sourcing,1,22,3.0,2,0,47.0,0
19100,Sales & Marketing,Delhi,Bachelor's,m,sourcing,2,44,5.0,14,0,48.0,0
58203,Operations,Coimbatore,Bachelor's,m,other,2,39,3.0,9,0,58.0,0
12504,Technology,Bangalore,Bachelor's,f,other,1,46,4.0,17,0,85.0,0
49126,Technology,Kochi,Bachelor's,m,other,1,29,2.0,5,0,77.0,0
66469,Finance,Bangalore,Bachelor's,m,other,1,26,1.0,3,0,59.0,0
53350,Operations,Chennai,Bachelor's,m,other,1,35,4.0,5,0,,0
22031,Procurement,Delhi,Bachelor's,f,other,1,29,4.0,2,0,95.0,1
36185,Technology,Chandigarh,Bachelor's,m,sourcing,1,30,2.0,9,0,79.0,0
58415,Sales & Marketing,Bangalore,Bachelor's,m,other,1,45,4.0,5,0,50.0,0
71763,Sales & Marketing,Kochi,Bachelor's,f,other,1,30,1.0,6,0,47.0,0
62742,Finance,Jamshedpur,Bachelor's,m,sourcing,1,28,2.0,4,0,59.0,0
33619,Technology,Delhi,Master's & above,m,sourcing,1,46,5.0,10,0,76.0,0
41212,Procurement,Bangalore,Bachelor's,m,sourcing,1,27,2.0,2,0,69.0,0
40204,Sales & Marketing,Indore,Bachelor's,m,sourcing,1,34,2.0,5,0,47.0,0
59131,Analytics,Pune,Bachelor's,m,sourcing,2,32,5.0,3,0,86.0,0
12559,Operations,Hyderabad,Bachelor's,f,other,1,35,5.0,10,0,63.0,0
30433,Procurement,Patna,Bachelor's,m,other,1,36,4.0,3,0,66.0,0
13150,Procurement,Delhi,Master's & above,f,other,1,58,1.0,13,0,70.0,0
9616,Finance,Lucknow,Bachelor's,m,other,1,29,4.0,4,0,57.0,0
26563,Procurement,Delhi,Bachelor's,f,referred,1,33,3.0,3,0,67.0,0
38331,Operations,Coimbatore,Bachelor's,f,other,1,32,5.0,6,0,62.0,0
18651,Legal,Hyderabad,Below Secondary,m,other,1,25,5.0,2,0,59.0,0
45004,Procurement,Chandigarh,Bachelor's,m,other,4,41,2.0,9,0,68.0,0
11892,Procurement,Guwahati,Bachelor's,f,other,1,25,,1,0,69.0,0
16859,Analytics,Delhi,Master's & above,m,other,1,50,1.0,7,1,79.0,0
